A 파일에는 있으나 B 파일에는 없는 항목 (지정구분, 연번, 문화재명(한글)):
       지정구분    연번                          문화재명(한글)
0   국가지정문화재    88                           경선사명청동북
1   국가지정문화재   279                     김천갈항사지동ᆞ서삼층석탑
2   국가지정문화재   369         대불정여래밀인수증요의제보살만행수능엄경권6∼10
3   국가지정문화재   370         대불정여래밀인수증요의제보살만행수능엄경권6∼10
4   국가지정문화재   378   대불정여래밀인수증요의제보살만행수능엄경언해권7~8,9~10
5   국가지정문화재   401                      대한제국고종「황제어새」
6   국가지정문화재   434                        독서당계회도2023
7   국가지정문화재   451                      동인지문사육권10∼12
8   국가지정문화재   452                      동인지문사육권13∼15
9   국가지정문화재   454                        동인지문사육권1∼6
10  국가지정문화재   455                        동인지문사육권7∼9
11  국가지정문화재   519                         묘법연화경권4∼7
12  국가지정문화재   525                         묘법연화경권5∼7
13  국가지정문화재   637         백자청화&quot;망우대&quot;명초충문접시
14  국가지정문화재   808                         불과환오선사벽암록
15  국가지정문화재   851                        삼국사기권44∼50
16  국가지정문화재   866                              삼층석탑
17  국가지정문화재   940  서울문묘및성균관&lt;대성전ᆞ동무ᆞ서무ᆞ삼문ᆞ명륜당&gt;
18  국가지정문화재   987            서울연세대학교스팀슨관StimsonHall
19  국가지정문화재   988       서울연세대학교아펜젤러관AppenzellerHall
20  국가지정문화재   990         서울연세대학교언더우드관UnderwoodHall
21  국가지정문화재  1126                       송조표전총류권6~11
22  국가지정문화재  1217                  안중근의사유묵-지사인인살신성인
23  국가지정문화재  1218                안중근의사유묵-황금백만냥불여일교자
24  국가지정문화재  1220                  안중근의사유묵-국가안위노심초사
25  국가지정문화재  1221                        안중근의사유묵-극락
26  국가지정문화재  1223                  안중근의사유묵-박학어문약지이례
27  국가지정문화재  1225                안중근의사유묵-세한연후지송백지부조
28  국가지정문화재  1226                안중근의사유묵-언충신행독경만방가행
29  국가지정문화재  1230                        안중근의사유묵-운재
30  국가지정문화재  1231                  안중근의사유묵-위국헌신군인본분
31  국가지정문화재  1246                        앙부일구2022-1
32  국가지정문화재  1247                        앙부일구2022-2
33  국가지정문화재  1248                        앙부일구2022-3
34  국가지정문화재  1325                             왕비록원삼
35  국가지정문화재  1484                           전傳고종익선관
36  국가지정문화재  1485                            전傳고종패옥
37  국가지정문화재  1486                             전傳고종갓
38  국가지정문화재  1489                            전傳왕비당의
39  국가지정문화재  1490                           전傳황후황원삼
40  국가지정문화재  1550                  조선왕조어보・어책・교명2023
41  국가지정문화재  1551                조선왕조어보・어책・교명2023-2
42  국가지정문화재  1568                           조씨삼형제초상
43  국가지정문화재  1807                       청자음각연화문유개매병
44  국가지정문화재  1862                  초조본아비담비파사론권11,17
